***Starting server on port 54627 ***
Loading net-file from 'scenario/lust/lust.net.xml' ... done (963ms).
Loading additional-files from 'scenario/lust/vtypes.add.xml' ... done (5ms).
Loading additional-files from 'scenario/lust/busstops.add.xml' ... done (10ms).
Loading additional-files from 'scenario/lust/e1detectors.add.xml' ... done (95ms).
Loading additional-files from 'scenario/lust/lust.poly.xml' ... done (387ms).
Loading additional-files from 'scenario/lust/tll.static.xml' ... done (16ms).
Loading done.
Simulation version 1.4.0 started with time: 0.00
Warning: Vehicle 'h20310c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20911.00.
Warning: Vehicle 'carIn13008:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20936.00.
Warning: Vehicle '5DEtoFR.143' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20942.00.
Warning: Vehicle 'carIn47776:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21013.00.
Warning: Vehicle 'carIn10791:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21054.00.
Warning: Vehicle '5FRtoDE.175' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21064.00.
Warning: Vehicle 'h47938c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21071.00.
Warning: Vehicle 'randUni16533:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21091.00.
Warning: Vehicle 'carIn26724:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21092.00.
Warning: Vehicle '5BEtoLU.177' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21120.00.
Warning: Vehicle 'carIn27657:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21165.00.
Warning: Vehicle '5FRtoBE.158' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21168.00.
Warning: Vehicle 'carIn10160:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21283.00.
Warning: Vehicle 'carIn13104:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21290.00.
Warning: Vehicle 'carIn48007:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21303.00.
Warning: Vehicle 'carIn15143:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21306.00.
Warning: Vehicle '5FRtoBE.164' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21315.00.
Warning: Vehicle 'carIn9596:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21318.00.
Warning: Vehicle '5FRtoBE.166' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21348.00.
Warning: Vehicle '5FRtoBE.167' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21349.00.
Warning: Vehicle 'h49483c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21355.00.
Warning: Vehicle 'carIn17577:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21374.00.
Warning: Vehicle '5FRtoBE.172' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21375.00.
Warning: Vehicle 'h62013c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21398.00.
Warning: Vehicle 'carIn43832:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21432.00.
Warning: Vehicle 'carIn14517:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21439.00.
Warning: Vehicle 'carIn13364:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21454.00.
Warning: Vehicle 'carIn11997:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21482.00.
Warning: Vehicle '5BEtoLU.200' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21492.00.
Warning: Vehicle 'carIn1428:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21511.00.
Warning: Vehicle 'carIn21793:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21555.00.
Warning: Vehicle 'carIn17583:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21583.00.
Warning: Vehicle 'h62359c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21610.00.
Warning: Vehicle 'h37895c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21642.00.
Warning: Vehicle 'carIn41421:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21646.00.
Warning: Vehicle 'carIn32637:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21668.00.
Warning: Vehicle 'carIn42767:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21698.00.
Warning: Vehicle 'carIn38020:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21745.00.
Warning: Vehicle 'carIn46605:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21745.00.
Warning: Vehicle '6FRtoDE.10' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21759.00.
Warning: Vehicle '6FRtoLU.23' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21821.00.
Warning: Vehicle '6FRtoDE.18' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21843.00.
Warning: Vehicle '6FRtoDE.19' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21843.00.
Warning: Vehicle 'carIn8219:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21844.00.
Warning: Vehicle 'carIn16509:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21845.00.
Warning: Vehicle '6BEtoLU.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21862.00.
Warning: Vehicle 'carIn6326:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21903.00.
Warning: Vehicle 'carIn32392:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21936.00.
Warning: Vehicle 'h25853c2:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21955.00.
Warning: Vehicle '6BEtoFR.34' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21982.00.
Warning: Vehicle 'h25556c2:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21987.00.
Warning: Vehicle 'carIn31902:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21994.00.
Warning: Vehicle 'carIn34083:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=21995.00.
Warning: Vehicle '6FRtoBE.36' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=22009.00.
Warning: Vehicle '6FRtoBE.37' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=22012.00.
Warning: Vehicle '6FRtoBE.36' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=22013.00.
